,SubjectName,SubjectID,SectionName,CourseCode,YearName
328,Cryptography and security,1770973,Systèmes de communication - master,COM-401,2015-2016
329,Cryptography and security,1770973,Informatique,COM-401,2015-2016
330,Information theory and coding,1774097,Mathématiques - master,COM-404,2015-2016
331,Information theory and coding,1774097,Ingénierie mathématique,COM-404,2015-2016
332,Information theory and coding,1774097,Génie électrique et électronique,COM-404,2015-2016
333,Information theory and coding,1774097,Systèmes de communication - master,COM-404,2015-2016
334,Information theory and coding,1774097,Informatique,COM-404,2015-2016
335,TCP/IP networking,1771764,Génie électrique et électronique,COM-407,2015-2016
336,TCP/IP networking,1771764,Information security minor,COM-407,2015-2016
337,TCP/IP networking,1771764,Systèmes de communication - master,COM-407,2015-2016
338,TCP/IP networking,1771764,Informatique,COM-407,2015-2016
339,Satellite communications  systems and networks,24166696,Mineur en Technologies spatiales,COM-414,2015-2016
340,Satellite communications  systems and networks,24166696,Systèmes de communication - master,COM-414,2015-2016
341,Audio signal processing and virtual acoustics,1790207913,Systèmes de communication - master,COM-415,2015-2016
342,Audio signal processing and virtual acoustics,1790207913,Informatique,COM-415,2015-2016
343,Projet en systèmes de communication II,82805306,Systèmes de communication - master,COM-416,2015-2016
344,Advanced probability and applications,1889230132,Systèmes de communication - master,COM-417,2015-2016
345,Advanced probability and applications,1889230132,Informatique,COM-417,2015-2016
346,Dynamical system theory for engineers,1771018,Bioingénierie,COM-502,2015-2016
347,Dynamical system theory for engineers,1771018,Mineur en Biocomputing,COM-502,2015-2016
348,Dynamical system theory for engineers,1771018,Mineur en Neurosciences computationnelles,COM-502,2015-2016
349,Dynamical system theory for engineers,1771018,Sciences et technologies du vivant - master,COM-502,2015-2016
350,Dynamical system theory for engineers,1771018,Science et ingénierie computationnelles,COM-502,2015-2016
351,Dynamical system theory for engineers,1771018,Systèmes de communication - master,COM-502,2015-2016
352,Dynamical system theory for engineers,1771018,Informatique,COM-502,2015-2016
353,Dynamical system theory for engineers,1771018,Mineur en Systems Engineering,COM-502,2015-2016
354,Optional project in communication systems,231957235,Systèmes de communication - master,COM-507,2015-2016
355,Advanced digital communications,1772065,Systèmes de communication - master,COM-510,2015-2016
356,Software-defined radio: A hands-on course,1776347,Systèmes de communication - master,COM-511,2015-2016
357,Software-defined radio: A hands-on course,1776347,Informatique,COM-511,2015-2016
358,Mathematical foundations of signal processing,1678961803,Science et ingénierie computationnelles,COM-514,2015-2016
359,Mathematical foundations of signal processing,1678961803,Systèmes de communication - master,COM-514,2015-2016
360,Mathematical foundations of signal processing,1678961803,Informatique,COM-514,2015-2016
361,Stage d'ingénieur crédité avec le PDM (master en Systèmes de communication),652076110,Systèmes de communication - master,COM-597,2015-2016
362,Projet de master en systèmes de communication,132425231,Systèmes de communication - master,COM-599,2015-2016
363,Introduction à la programmation,784637359,Systèmes de communication,CS-107,2015-2016
364,Introduction à la programmation,784637359,Informatique,CS-107,2015-2016
365,"Information, calcul, communication",1657719952,Génie civil,CS-110(a),2015-2016
366,"Information, calcul, communication",1657719952,Sciences et ingénierie de l'environnement,CS-110(a),2015-2016
367,"Information, calcul, communication",1657719952,Génie mécanique,CS-110(b),2015-2016
368,"Information, calcul, communication",1657719952,Science et génie des matériaux,CS-110(b),2015-2016
369,"Information, calcul, communication",1657719952,Microtechnique,CS-110(c),2015-2016
370,"Information, calcul, communication",1657719952,Génie électrique et électronique,CS-110(c),2015-2016
371,"Information, calcul, communication",1657719952,Mathématiques,CS-110(d),2015-2016
372,"Information, calcul, communication",1657719952,Physique,CS-110(d),2015-2016
373,"Information, computation, communication",1790138559,Systèmes de communication,CS-110(e),2015-2016
374,"Information, computation, communication",1790138559,Informatique,CS-110(e),2015-2016
375,"Information, calcul, communication",1657719952,Sciences et technologies du vivant,CS-110(g),2015-2016
376,Programmation,1775692,Génie civil,CS-111(a),2015-2016
377,Programmation,1775692,Sciences et ingénierie de l'environnement,CS-111(b),2015-2016
378,Programmation I,1775697,Microtechnique,CS-111(c),2015-2016
379,Programmation I,1775697,Génie électrique et électronique,CS-111(c),2015-2016
380,Programmation I,1775697,Mathématiques,CS-111(g),2015-2016
381,Programmation I,1775697,Physique,CS-111(g),2015-2016
382,Programmation I,1775697,Sciences et technologies du vivant,CS-111(i),2015-2016
383,Programmation II,1775702,Sciences et technologies du vivant,CS-112(i),2015-2016
384,Projets en informatique (pour SV),352067537,Sciences et technologies du vivant,CS-116,2015-2016
385,Discrete structures,47848061,Information security minor,CS-150,2015-2016
386,Discrete structures,47848061,Systèmes de communication,CS-150,2015-2016
387,Discrete structures,47848061,Informatique,CS-150,2015-2016
388,Systèmes logiques,1776592,Microtechnique,CS-171,2015-2016
389,Concurrency,1789653698,Systèmes de communication,CS-206,2015-2016
390,Programmation orientée système,71645784,Systèmes de communication,CS-207,2015-2016
391,Architecture des ordinateurs,4144648,Systèmes de communication,CS-208,2015-2016
392,Architecture des ordinateurs,4144648,Informatique,CS-208,2015-2016
393,Architecture des ordinateurs,4144648,Passerelle HES - IN,CS-208,2015-2016
394,Architecture des systems-on-chip,1790169567,Systèmes de communication,CS-209,2015-2016
395,Functional programming,1790138595,Systèmes de communication,CS-210,2015-2016
396,Functional programming,1790138595,Informatique,CS-210,2015-2016
397,Algorithms,2258712,Systèmes de communication,CS-250,2015-2016
398,Algorithms,2258712,Mathématiques,CS-250,2015-2016
399,Algorithms,2258712,Information security minor,CS-250,2015-2016
400,Algorithms,2258712,Science et ingénierie computationnelles,CS-250,2015-2016
401,Algorithms,2258712,Informatique,CS-250,2015-2016
402,Algorithms,2258712,Passerelle HES - IN,CS-250,2015-2016
403,Algorithms,2258712,Passerelle HES - SC,CS-250,2015-2016
404,Theory of computation,1704192615,Systèmes de communication,CS-251,2015-2016
405,Software engineering,24092923,Science et ingénierie computationnelles,CS-305,2015-2016
406,Software engineering,24092923,Systèmes de communication,CS-305,2015-2016
407,Software engineering,24092923,Informatique,CS-305,2015-2016
408,Software engineering,24092923,Passerelle HES - IN,CS-305,2015-2016
409,Introduction to multiprocessor architecture,1921237690,Systèmes de communication,CS-307,2015-2016
410,Introduction to multiprocessor architecture,1921237690,Informatique,CS-307,2015-2016
411,Introduction to computer vision,1771203,Systèmes de communication,CS-310,2015-2016
412,Introduction to computer vision,1771203,Informatique,CS-310,2015-2016
413,Computer language processing,1887888591,Systèmes de communication,CS-320,2015-2016
414,Computer language processing,1887888591,Informatique,CS-320,2015-2016
415,Informatique du temps réel,2258520,Systèmes de communication,CS-321,2015-2016
416,Informatique du temps réel,2258520,Informatique,CS-321,2015-2016
417,Projet en informatique I,128676455,Informatique,CS-398,2015-2016
418,Digital education & learning analytics,1790254853,Systèmes de communication - master,CS-411,2015-2016
419,Digital education & learning analytics,1790254853,Informatique,CS-411,2015-2016
420,Program parallelization on PC clusters,231957812,Science et ingénierie computationnelles,CS-425,2015-2016
421,Program parallelization on PC clusters,231957812,Informatique,CS-425,2015-2016
422,Intelligent agents,1771183,Gestion de l'énergie et construction durable,CS-430,2015-2016
423,Intelligent agents,1771183,Ingénierie financière,CS-430,2015-2016
424,Intelligent agents,1771183,Systèmes de communication - master,CS-430,2015-2016
425,Intelligent agents,1771183,Informatique,CS-430,2015-2016
426,Pattern classification and machine learning,1771468,Mineur en Biocomputing,CS-433,2015-2016
427,Pattern classification and machine learning,1771468,Mineur en Neurosciences computationnelles,CS-433,2015-2016
428,Pattern classification and machine learning,1771468,Sciences et technologies du vivant - master,CS-433,2015-2016
429,Pattern classification and machine learning,1771468,Systèmes de communication - master,CS-433,2015-2016
430,Pattern classification and machine learning,1771468,Informatique,CS-433,2015-2016
431,Unsupervised and reinforcement learning in neural networks,1771794,Mineur en Biocomputing,CS-434,2015-2016
432,Unsupervised and reinforcement learning in neural networks,1771794,Mineur en Neurosciences computationnelles,CS-434,2015-2016
433,Unsupervised and reinforcement learning in neural networks,1771794,Sciences et technologies du vivant - master,CS-434,2015-2016
434,Unsupervised and reinforcement learning in neural networks,1771794,Systèmes de communication - master,CS-434,2015-2016
435,Unsupervised and reinforcement learning in neural networks,1771794,Informatique,CS-434,2015-2016
436,Analytic methods in algorithms and complexity,1888829730,Systèmes de communication - master,CS-435,2015-2016
437,Analytic methods in algorithms and complexity,1888829730,Informatique,CS-435,2015-2016
438,Advanced computer graphics,1770923,Systèmes de communication - master,CS-440,2015-2016
439,Advanced computer graphics,1770923,Informatique,CS-440,2015-2016
440,Distributed algorithms,1773287,Systèmes de communication - master,CS-451,2015-2016
441,Distributed algorithms,1773287,Informatique,CS-451,2015-2016
442,Foundations of software,71840397,Informatique,CS-452,2015-2016
443,Concurrent algorithms,231901032,Systèmes de communication - master,CS-453,2015-2016
444,Concurrent algorithms,231901032,Informatique,CS-453,2015-2016
445,Advanced multiprocessor architecture,128789807,Génie électrique et électronique,CS-471,2015-2016
446,Advanced multiprocessor architecture,128789807,Science et ingénierie computationnelles,CS-471,2015-2016
447,Advanced multiprocessor architecture,128789807,Systèmes de communication - master,CS-471,2015-2016
448,Advanced multiprocessor architecture,128789807,Informatique,CS-471,2015-2016
449,Design technologies for integrated systems,24164994,Génie électrique et électronique,CS-472,2015-2016
450,Design technologies for integrated systems,24164994,Systèmes de communication - master,CS-472,2015-2016
451,Design technologies for integrated systems,24164994,Informatique,CS-472,2015-2016
452,Embedded systems,1771058,Génie électrique et électronique,CS-473,2015-2016
453,Embedded systems,1771058,Systèmes de communication - master,CS-473,2015-2016
454,Embedded systems,1771058,Informatique,CS-473,2015-2016
455,Microelectronics for systems on chips,71644441,Génie électrique et électronique,CS-474,2015-2016
456,Microelectronics for systems on chips,71644441,Systèmes de communication - master,CS-474,2015-2016
457,Microelectronics for systems on chips,71644441,Informatique,CS-474,2015-2016
458,Projet en informatique II,128676975,Informatique,CS-498,2015-2016
459,Principles of computer systems,1501687491,Systèmes de communication - master,CS-522,2015-2016
460,Principles of computer systems,1501687491,Informatique,CS-522,2015-2016
461,Stage d'ingénieur crédité avec le PDM (master en Informatique),652061370,Informatique,CS-595,2015-2016
462,Optional project in computer science,231957545,Informatique,CS-596,2015-2016
463,Projet de master en informatique,132427120,Informatique,CS-599,2015-2016
464,Sciences et technologies de l'électricité (automne),1661986440,Génie électrique et électronique,EE-100,2015-2016
465,Sciences et technologies de l'électricité (automne),1661986440,Génie mécanique,EE-106,2015-2016
466,Electromagnétisme I : lignes et ondes,1773452,Génie électrique et électronique,EE-200,2015-2016
467,Electromagnétisme I : lignes et ondes,1773452,Systèmes de communication,EE-200,2015-2016
468,Electromagnétisme I : lignes et ondes,1773452,Informatique,EE-200,2015-2016
469,Electromagnétisme I : lignes et ondes,1773452,Passerelle HES - EL,EE-200,2015-2016
470,Electronique I,1773492,Microtechnique,EE-202,2015-2016
471,Electronique I,1773492,Génie électrique et électronique,EE-202,2015-2016
472,Electronique I,1773492,Passerelle HES - EL,EE-202,2015-2016
473,Electronique I,1773492,Systèmes de communication,EE-202(b),2015-2016
474,Electronique I,1773492,Informatique,EE-202(b),2015-2016
475,Electronique II,1773472,Systèmes de communication,EE-203(b),2015-2016
476,Electronique II,1773472,Informatique,EE-203(b),2015-2016
477,Circuits et systèmes I,348715502,Systèmes de communication,EE-204,2015-2016
478,Circuits et systèmes I,348715502,Génie électrique et électronique,EE-204,2015-2016
479,Circuits et systèmes I,348715502,Informatique,EE-204,2015-2016
480,Circuits et systèmes I,348715502,Passerelle HES - EL,EE-204,2015-2016
481,Circuits and systems II,348716744,Systèmes de communication,EE-205,2015-2016
482,Measuring systems,1669888598,Génie électrique et électronique,EE-206,2015-2016
483,Measuring systems,1669888598,Passerelle HES - EL,EE-206,2015-2016
484,Electronique,2328456,Génie mécanique,EE-280,2015-2016
485,Initiation à l'électronique,1774172,Physique,EE-282,2015-2016
486,Systèmes électriques et électroniques I,24508366,Sciences et technologies du vivant,EE-295,2015-2016
487,Systèmes embarqués microprogrammés,354337707,Génie électrique et électronique,EE-310,2015-2016
488,Systèmes embarqués microprogrammés,354337707,Mineur en Technologies spatiales,EE-310,2015-2016
489,Systèmes embarqués microprogrammés,354337707,Passerelle HES - EL,EE-310,2015-2016
490,Circuits intégrés I,1499251995,Microtechnique,EE-320,2015-2016
491,Circuits intégrés I,1499251995,Génie électrique et électronique,EE-320,2015-2016
492,Circuits intégrés I,1499251995,Passerelle HES - EL,EE-320,2015-2016
493,Circuits et systèmes électroniques I,1772657,Microtechnique,EE-331,2015-2016
494,Circuits et systèmes électroniques I,1772657,Génie électrique et électronique,EE-331,2015-2016
495,Circuits et systèmes électroniques I,1772657,Passerelle HES - EL,EE-331,2015-2016
496,Conception de systèmes numériques pour EL,1499334061,Génie électrique et électronique,EE-334,2015-2016
497,Conception de systèmes numériques pour EL,1499334061,Passerelle HES - EL,EE-334,2015-2016
498,Rayonnement et antennes,1776002,Génie électrique et électronique,EE-345,2015-2016
499,Rayonnement et antennes,1776002,Mineur en Technologies spatiales,EE-345,2015-2016
500,Rayonnement et antennes,1776002,Passerelle HES - EL,EE-345,2015-2016
501,Electroacoustique,1499336370,Génie électrique et électronique,EE-348,2015-2016
502,Electroacoustique,1499336370,Passerelle HES - EL,EE-348,2015-2016
503,Traitement des signaux,1499250198,Génie électrique et électronique,EE-350,2015-2016
504,Traitement des signaux,1499250198,Passerelle HES - EL,EE-350,2015-2016
505,Conversion d'énergie,1499248312,Génie électrique et électronique,EE-360,2015-2016
506,Conversion d'énergie,1499248312,Passerelle HES - EL,EE-360,2015-2016
507,Réseaux électriques,1776057,Génie électrique et électronique,EE-370,2015-2016
508,Réseaux électriques,1776057,Passerelle HES - EL,EE-370,2015-2016
509,Distribution de l'énergie électrique,1499340075,Génie électrique et électronique,EE-371,2015-2016
510,Distribution de l'énergie électrique,1499340075,Passerelle HES - EL,EE-371,2015-2016
511,Machines électriques,1774472,Génie mécanique,EE-382,2015-2016
512,Projet d'électricité,72259375,Hors plans,EE-399,2015-2016
513,Analog circuits design I,23996396,Gestion de l'énergie et construction durable,EE-420,2015-2016
514,Analog circuits design I,23996396,Micro and Nanotechnologies for Integrated Systems,EE-420,2015-2016
515,Analog circuits design I,23996396,Microtechnique,EE-420,2015-2016
516,Analog circuits design I,23996396,Génie électrique et électronique,EE-420,2015-2016
517,HF and VHF circuits and techniques I,24302061,Micro and Nanotechnologies for Integrated Systems,EE-425,2015-2016
518,HF and VHF circuits and techniques I,24302061,Génie électrique et électronique,EE-425,2015-2016
519,Introduction to VLSI Design,1898331930,Micro and Nanotechnologies for Integrated Systems,EE-428,2015-2016
520,Fundamentals of VLSI design,1676565978,Génie électrique et électronique,EE-429,2015-2016
521,Fundamentals of VLSI design,1676565978,Information security minor,EE-429,2015-2016
522,Hardware systems modeling I,24102460,Génie électrique et électronique,EE-432,2015-2016
523,Hardware systems modeling,1676566727,Micro and Nanotechnologies for Integrated Systems,EE-434,2015-2016
524,Wireless receivers: algorithms and architectures,1499348352,Génie électrique et électronique,EE-442,2015-2016
525,Microwaves,1774062,Génie électrique et électronique,EE-445,2015-2016
526,Microwaves,1774062,Systèmes de communication - master,EE-445,2015-2016
527,Hydropower plants : generating and pumping units,1776060937,Gestion de l'énergie et construction durable,EE-456,2015-2016
528,Hydropower plants : generating and pumping units,1776060937,Génie électrique et électronique,EE-456,2015-2016
529,Hydropower plants : generating and pumping units,1776060937,Mineur en Énergie,EE-456,2015-2016
530,Transducteurs et entraînements intégrés,1777057,Microtechnique,EE-461,2015-2016
531,Industrial electronics I,1499350096,Gestion de l'énergie et construction durable,EE-465,2015-2016
532,Industrial electronics I,1499350096,Génie électrique et électronique,EE-465,2015-2016
533,Industrial electronics I,1499350096,Mineur en Énergie,EE-465,2015-2016
534,"Energy storage in power systems: technologies, applications and future needs",1676507646,Gestion de l'énergie et construction durable,EE-466,2015-2016
535,"Energy storage in power systems: technologies, applications and future needs",1676507646,Génie électrique et électronique,EE-466,2015-2016
536,"Energy storage in power systems: technologies, applications and future needs",1676507646,Mineur en Énergie,EE-466,2015-2016
537,Multivariable control and coordination systems,1890132722,Gestion de l'énergie et construction durable,EE-477,2015-2016
538,Multivariable control and coordination systems,1890132722,Génie électrique et électronique,EE-477,2015-2016
539,Lab in Acoustics,1670041923,Génie électrique et électronique,EE-490(a),2015-2016
540,Lab in EDA based design,1670041994,Micro and Nanotechnologies for Integrated Systems,EE-490(b),2015-2016
541,Lab in EDA based design,1670041994,Génie électrique et électronique,EE-490(b),2015-2016
542,Lab in Microelectronics,1670042196,Génie électrique et électronique,EE-490(d),2015-2016
543,Lab in Microwaves,1670042209,Génie électrique et électronique,EE-490(e),2015-2016
544,Lab on apps development for tablets and smartphones,1685570179,Génie électrique et électronique,EE-490(g),2015-2016
545,Project in Electrical Energy Systems,1670037881,Hors plans,EE-491(a),2015-2016
546,Project in Information Technologies,1670041842,Hors plans,EE-491(b),2015-2016
547,Project in Micro and Nanoelectronics,1670041858,Hors plans,EE-491(c),2015-2016
548,Lab in Electrical Energy Systems,1670042080,Génie électrique et électronique,EE-492(c),2015-2016
549,Biomedical signal processing,229720940,Mathématiques - master,EE-512,2015-2016
550,Biomedical signal processing,229720940,Ingénierie mathématique,EE-512,2015-2016
551,Biomedical signal processing,229720940,Génie électrique et électronique,EE-512,2015-2016
552,Biomedical signal processing,229720940,Mineur en Technologies biomédicales,EE-512,2015-2016
553,Biomedical signal processing,229720940,Systèmes de communication - master,EE-512,2015-2016
554,Biomedical signal processing,229720940,Informatique,EE-512,2015-2016
555,Biometrics,1770798,Information security minor,EE-513,2015-2016
556,Biometrics,1770798,UNIL - Sciences forensiques,EE-513,2015-2016
557,Biometrics,1770798,Systèmes de communication - master,EE-513,2015-2016
558,Fundamentals of biosensors and electronic biochips,1670074783,Bioingénierie,EE-515,2015-2016
559,Fundamentals of biosensors and electronic biochips,1670074783,Génie électrique et électronique,EE-515,2015-2016
560,Fundamentals of biosensors and electronic biochips,1670074783,Mineur en Neuroprosthétiques,EE-515,2015-2016
561,Fundamentals of biosensors and electronic biochips,1670074783,Mineur en Technologies biomédicales,EE-515,2015-2016
562,Fundamentals of biosensors and electronic biochips,1670074783,Sciences et technologies du vivant - master,EE-515,2015-2016
563,Data analysis and model classification,354987130,Bioingénierie,EE-516,2015-2016
564,Data analysis and model classification,354987130,Mineur en Neuroprosthétiques,EE-516,2015-2016
565,Data analysis and model classification,354987130,Mineur en Neurosciences computationnelles,EE-516,2015-2016
566,Data analysis and model classification,354987130,Sciences et technologies du vivant - master,EE-516,2015-2016
567,Bio-nano-chip design,1776060714,Génie électrique et électronique,EE-517,2015-2016
568,Advanced analog and RF integrated circuits design I,24334799,Génie électrique et électronique,EE-520,2015-2016
569,Test of VLSI systems,47241891,Micro and Nanotechnologies for Integrated Systems,EE-530,2015-2016
570,Test of VLSI systems,47241891,Génie électrique et électronique,EE-530,2015-2016
571,Integrated circuits technology,1776687,Génie électrique et électronique,EE-532,2015-2016
572,Nanoelectronics,2222268,Micro and Nanotechnologies for Integrated Systems,EE-535,2015-2016
573,Nanoelectronics,2222268,Génie électrique et électronique,EE-535,2015-2016
574,Physical models for micro and nanosystems,40249208,Micro and Nanotechnologies for Integrated Systems,EE-536,2015-2016
575,Physical models for micro and nanosystems,40249208,Génie électrique et électronique,EE-536,2015-2016
576,Modeling of emerging electron devices,75309053,Génie électrique et électronique,EE-537,2015-2016
577,Electrical filters,1670063935,Génie électrique et électronique,EE-539,2015-2016
578,Optical communications,1670043473,Génie électrique et électronique,EE-540,2015-2016
579,Audio,350861389,Microtechnique,EE-548,2015-2016
580,Audio,350861389,Génie électrique et électronique,EE-548,2015-2016
581,Propagation of acoustic waves,1670084070,Génie électrique et électronique,EE-549,2015-2016
582,Image and video processing,24165904,Génie électrique et électronique,EE-550,2015-2016
583,Image and video processing,24165904,Systèmes de communication - master,EE-550,2015-2016
584,Image and video processing,24165904,Informatique,EE-550,2015-2016
585,Automatic speech processing,348760034,Génie électrique et électronique,EE-554,2015-2016
586,Automatic speech processing,348760034,Systèmes de communication - master,EE-554,2015-2016
587,Automatic speech processing,348760034,Informatique,EE-554,2015-2016
588,Systems and architectures for signal processing,1776060846,Génie électrique et électronique,EE-555,2015-2016
589,Mathematics of data: from theory to computation,1776060814,Génie électrique et électronique,EE-556,2015-2016
590,Wave propagation along transmission lines,24335296,Génie électrique et électronique,EE-575,2015-2016
591,Introduction à la conception de mécanismes spatiaux,127005949,Mineur en Technologies spatiales,EE-580,2015-2016
592,Spacecraft design and system engineering,47244272,Mineur en Technologies spatiales,EE-584,2015-2016
593,Spacecraft design and system engineering,47244272,Mineur en Systems Engineering,EE-584,2015-2016
594,Introduction to planetary sciences,241135439,Mineur en Technologies spatiales,EE-586,2015-2016
595,Advanced lab in Electrical Energy Systems,1678500034,Génie électrique et électronique,EE-588,2015-2016
596,Projet en technologies spatiales,72259597,Mineur en Technologies spatiales,EE-589,2015-2016
597,Stage d'ingénieur (master en Génie électrique et électronique),652078498,Génie électrique et électronique,EE-596(a),2015-2016
598,Stage d'ingénieur crédité avec le PDM (master en Génie électrique et électronique),652058942,Génie électrique et électronique,EE-597,2015-2016
599,Advanced lab in Electrical Engineering,1678499905,Génie électrique et électronique,EE-598,2015-2016
600,Projet de master en génie électrique et électronique,132424935,Génie électrique et électronique,EE-599,2015-2016
601,Programmation et conception orientées objets,1776059601,Génie électrique et électronique,ENG-209,2015-2016
602,Programmation et conception orientées objets,1776059601,Passerelle HES - EL,ENG-209,2015-2016
603,Méthodes quantitatives I,71544625,Génie civil,ENG-267,2015-2016
604,Méthodes quantitatives I,71544625,Sciences et ingénierie de l'environnement,ENG-267,2015-2016
605,"Droit de l'architecte, introduction : contrats et concours",1680257605,Architecture,ENG-383,2015-2016
606,Environmental transport phenomena,47572529,Gestion de l'énergie et construction durable,ENG-420,2015-2016
607,Environmental transport phenomena,47572529,Sciences et ingénierie de l'environnement,ENG-420,2015-2016
608,Environmental transport phenomena,47572529,Science et ingénierie computationnelles,ENG-420,2015-2016
609,Fundamentals in Systems Engineering,1899818511,Mineur en Systems Engineering,ENG-421,2015-2016
610,Chimie des denrées alimentaires,1772492,Chimie moléculaire et biologique,ENG-433,2015-2016
611,Chimie des denrées alimentaires,1772492,Génie chimique et biotechnologie,ENG-433,2015-2016
612,Chimie des denrées alimentaires,1772492,Mineur en Biotechnologie,ENG-433,2015-2016
613,Chimie des denrées alimentaires,1772492,UNIL - Sciences forensiques,ENG-433,2015-2016
614,Management of industrial production,230672285,Mineur en Biotechnologie,ENG-434,2015-2016
615,Spatial statistics and analysis,72495962,Gestion de l'énergie et construction durable,ENG-440,2015-2016
616,Spatial statistics and analysis,72495962,Sciences et ingénierie de l'environnement,ENG-440,2015-2016
617,Energétique du bâtiment,1773592,Gestion de l'énergie et construction durable,ENG-445,2015-2016
618,Energétique du bâtiment,1773592,Génie civil,ENG-445,2015-2016
619,Energétique du bâtiment,1773592,"Mineur en Design intégré, architecture et durabilité",ENG-445,2015-2016
620,Energétique du bâtiment,1773592,Mineur en Énergie,ENG-445,2015-2016
621,Distributed intelligent systems,231677206,Gestion de l'énergie et construction durable,ENG-466,2015-2016
622,Distributed intelligent systems,231677206,Microtechnique,ENG-466,2015-2016
623,Distributed intelligent systems,231677206,Mineur en Biocomputing,ENG-466,2015-2016
624,Distributed intelligent systems,231677206,Sciences et ingénierie de l'environnement,ENG-466,2015-2016
625,Distributed intelligent systems,231677206,Science et ingénierie computationnelles,ENG-466,2015-2016
626,Distributed intelligent systems,231677206,Systèmes de communication - master,ENG-466,2015-2016
627,Distributed intelligent systems,231677206,Informatique,ENG-466,2015-2016
628,"Organisation, économie et droit de la construction I",2208445,Génie civil,ENG-470,2015-2016
629,Project in energy management and sustainability I,862953095,Gestion de l'énergie et construction durable,ENG-472(a),2015-2016
630,Études d'impact,1773632,Gestion de l'énergie et construction durable,ENG-474,2015-2016
631,Études d'impact,1773632,Génie civil,ENG-474,2015-2016
632,Études d'impact,1773632,"Mineur en Design intégré, architecture et durabilité",ENG-474,2015-2016
633,Études d'impact,1773632,Mineur en Développement territorial et urbanisme,ENG-474,2015-2016
634,Études d'impact,1773632,Sciences et ingénierie de l'environnement,ENG-474,2015-2016
635,Introduction to environmental engineering,71544480,Sciences et ingénierie de l'environnement,ENV-167,2015-2016
636,Microbiologie pour l'ingénieur,47564647,Mineur en Biotechnologie,ENV-202,2015-2016
637,Microbiologie pour l'ingénieur,47564647,Sciences et ingénierie de l'environnement,ENV-202,2015-2016
638,Hydrology for engineer,348608416,Génie civil,ENV-221,2015-2016
639,Hydrology for engineer,348608416,Sciences et ingénierie de l'environnement,ENV-221,2015-2016
640,Sciences du sol,71556171,Sciences et ingénierie de l'environnement,ENV-222,2015-2016
641,Informatique pour l'ingénieur,838976279,Sciences et ingénierie de l'environnement,ENV-270,2015-2016
642,Analyse des polluants dans l'environnement,4649823,Sciences et ingénierie de l'environnement,ENV-300,2015-2016
643,Remédiation des sites,71559290,Sciences et ingénierie de l'environnement,ENV-301,2015-2016
644,"Génie sanitaire, gestion des eaux et des déchets",231617900,Sciences et ingénierie de l'environnement,ENV-304,2015-2016
645,Localisation par satellites,1774457,Mineur en Technologies spatiales,ENV-340,2015-2016
646,Localisation par satellites,1774457,Sciences et ingénierie de l'environnement,ENV-340,2015-2016
647,Système d'Information Géographique (SIG),47565939,Génie civil,ENV-342,2015-2016
648,Système d'Information Géographique (SIG),47565939,Sciences et ingénierie de l'environnement,ENV-342,2015-2016
649,Législation environnementale et droit de la construction,23985449,Sciences et ingénierie de l'environnement,ENV-367,2015-2016
650,"Analyse du cycle de vie, écobilan",23985644,"Mineur en Design intégré, architecture et durabilité",ENV-370,2015-2016
651,"Analyse du cycle de vie, écobilan",23985644,Mineur en Énergie,ENV-370,2015-2016
652,"Analyse du cycle de vie, écobilan",23985644,Sciences et ingénierie de l'environnement,ENV-370,2015-2016
653,Sanitary engineering in developing countries,231672762,Gestion de l'énergie et construction durable,ENV-402,2015-2016
654,Sanitary engineering in developing countries,231672762,Sciences et ingénierie de l'environnement,ENV-402,2015-2016
655,Water and wastewater treatment,72496701,Gestion de l'énergie et construction durable,ENV-405,2015-2016
656,Water and wastewater treatment,72496701,Sciences et ingénierie de l'environnement,ENV-405,2015-2016
657,Biomineralization: from nature to application,1680357086,UNIL - Géosciences,ENV-406,2015-2016
658,Biomineralization: from nature to application,1680357086,Sciences et ingénierie de l'environnement,ENV-406,2015-2016
659,Eco-morphologie fluviale,44989325,Sciences et ingénierie de l'environnement,ENV-418,2015-2016
660,Concepts in ecological engineering,1590321840,Mineur en Développement territorial et urbanisme,ENV-422,2015-2016
661,Concepts in ecological engineering,1590321840,Sciences et ingénierie de l'environnement,ENV-422,2015-2016
662,Water resources engineering,47572541,Gestion de l'énergie et construction durable,ENV-424,2015-2016
663,Water resources engineering,47572541,Sciences et ingénierie de l'environnement,ENV-424,2015-2016
664,Fluvial biogeosciences,1889234532,Sciences et ingénierie de l'environnement,ENV-426,2015-2016
665,Analyse exploratoire de données géospatiales,1800382716,Sciences et ingénierie de l'environnement,ENV-444,2015-2016
666,Geomonitoring,348634646,Gestion de l'énergie et construction durable,ENV-445,2015-2016
667,Geomonitoring,348634646,Sciences et ingénierie de l'environnement,ENV-445,2015-2016
668,Environnements de travail et risques professionnels,1499342340,Sciences et ingénierie de l'environnement,ENV-468,2015-2016
669,Systèmes de management environnementaux,24002581,"Mineur en Design intégré, architecture et durabilité",ENV-469,2015-2016
670,Systèmes de management environnementaux,24002581,Sciences et ingénierie de l'environnement,ENV-469,2015-2016
671,Projet ENAC,1775782,Architecture,ENV-494,2015-2016
672,Projet ENAC,1775782,Génie civil,ENV-494,2015-2016
673,Advanced solid waste treatment,47572475,Gestion de l'énergie et construction durable,ENV-500,2015-2016
