Id,SubjectName,AssociatedCourseCodes
1179240,Algèbre linéaire I,MATH-110; MATH-110(b); MATH-112; MATH-112(a); MATH-112(b)
1179245,Analyse numérique,MATH-150; MATH-250; MATH-251(a); MATH-251(b); MATH-251(c); MATH-251(d)
1186202,Algèbre linéaire II,MATH-115; MATH-117; MATH-117(a); MATH-117(b)
1705532,Physique I,PHYS-100
1705538,Physique II,PHYS-105
1705560,Informatique I,CS-110(a); CS-110(b); CS-110(c); CS-110(d); CS-110(e); CS-110(f); CS-117
1705566,Informatique II,CS-112(a); CS-112(b); CS-112(c); CS-112(d); CS-119
1705590,Analyse I,MATH-100; MATH-100(a); MATH-100(b); MATH-101(a); MATH-101(b); MATH-101(c); MATH-101(d); MATH-101(e); MATH-101(f); MATH-101(g); MATH-102; MATH-103
1705597,Analyse II,MATH-101(a); MATH-105; MATH-105(a); MATH-105(b); MATH-106(a); MATH-106(b); MATH-106(c); MATH-106(d); MATH-106(e); MATH-106(f); MATH-106(g); MATH-107
1748165,Analyse II (allemand),MATH-106(de); MATH-109
1748172,Analyse I (allemand),MATH-101(de); MATH-104
1770632,Barrages et ouvrages hydrauliques annexes,CIVIL-411
1770637,Bases de données,CS-322
1770678,Applied molecular quantum chemistry,CH-451
1770688,Bioanalytics and analytical sensors,CH-402
1770703,Advanced compiler construction,CS-420
1770713,Advanced databases,CS-422
1770748,Advanced NMR and imaging,CH-401
1770768,Advanced virtual reality systems and telepresence,COM-704
1770773,Air pollution and climate change,ENV-400
1770783,Analytical ultracentrifugation,CH-702
1770793,Biomedical approaches for drug evaluation (a),CH-604(a)
1770798,Biometrics,EE-513; EE-591; UNIL-402
1770828,Biotechnology lab (for CGC),BIOENG-433; BIOENG-434
1770853,Chemical biology,CH-412
1770878,Non-destructive evaluation methods,MSE-610
1770893,Color reproduction,CS-441
1770923,Advanced computer graphics,CS-440
1770948,Computer-supported cooperative work,CS-485
1770973,Cryptography and security,COM-401
1771018,Dynamical system theory for engineers,COM-502
1771058,Embedded systems,CS-473
1771113,F elements,CH-425
1771128,Functional materials in communication systems,MSE-371
1771158,Human computer interaction,CS-486
1771173,Industrial automation,CS-487
1771183,Intelligent agents,CS-430
1771203,Introduction to computer vision,CS-310
1771208,Introduction to information systems,CS-326
1771248,Linear system theory,COM-605
1771258,Macromolecules in solution,CH-713
1771263,Mass spectrometry,CH-403
1771268,Mathematica for materials scientists (Fall),MSE-605; MSE-605(a)
1771278,Foundations of image science,CS-443
1771303,Media security,EE-552
1771318,Microfluidics for lab-on-a-chip,MICRO-706
1771323,Micro-magnetic field sensors and actuators,MICRO-602
1771333,Microstructuring of glass,MICRO-707
1771338,Mobile networks,COM-405
1771368,Modern coding theory,COM-607
1771373,Modern techniques in computational chemistry,CH-452
1771378,Multimedia documents,CS-488
1771388,Nanobiotechnology and biophysics,CH-413
1771453,Optical MEMS and micro-optics,MICRO-605
1771458,Optical properties of nanostructures,PHYS-603
1771468,Pattern classification and machine learning,CS-433
1771473,Performance evaluation,COM-503
1771488,Photochemistry II,CH-443
